passenger,name,package,luggage,station,bureau,address
True,保家楼,False,False,False,成都铁路局,重庆市彭水县保家楼镇炉山居委3组
True,丙谷,False,False,False,成都铁路局,四川省攀枝花市米易县丙谷镇橄榄河村三社
True,步行街,False,False,False,成都铁路局,四川省成都市郫县步行街 
True,苍坪,False,False,False,成都铁路局,云南省昭通市大关县天星镇双河村民委员会榨房村民小组31号
True,曹家湾,False,False,False,成都铁路局,贵州省六盘水市钟山区境内
True,岔河,False,False,False,成都铁路局,云南省昭通市大关县天星镇祥云村
True,长河坝,False,False,False,成都铁路局,四川省汉源县永利乡境内
True,台前,False,False,True,济南铁路局,河南省台前县德商公路西
True,泰安,False,False,True,济南铁路局,山东省山东省泰安市岱岳区灵山大街
True,泰山,True,True,True,济南铁路局,山东省泰安市泰山区财源街西首
True,郯城,False,False,True,济南铁路局,山东省郯城县东外环东侧
True,桃村,False,False,True,济南铁路局,山东省烟台市桃村镇站前路6号
True,滕州,True,True,True,济南铁路局,山东省滕州市大同路1号
True,贺家店,False,False,False,兰州铁路局,甘肃省天水市武山县山丹乡贺家店车站
True,黑冲滩,False,False,False,兰州铁路局,甘肃省武威市古浪县大靖镇黑冲滩车站
True,红砂岘,False,False,False,兰州铁路局,甘肃省白银市白银区武川乡红砂岘车站
True,红岘台,False,False,False,兰州铁路局,甘肃省白银市景泰县中泉乡红岘台村红岘台车站
True,呼噜斯太,False,False,False,兰州铁路局,内蒙古自治区阿拉善盟左旗呼鲁斯太镇呼噜斯太车站
True,花庄,False,False,False,兰州铁路局,甘肃省兰州市红古区花庄镇花庄车站
True,化德站,False,False,True,呼和浩特铁路局,内蒙古自治区乌兰察布市化德县
True,集宁南,True,True,True,呼和浩特铁路局,内蒙古自治区乌兰察布市集宁区怀远北大街96号
True,经棚,False,False,True,呼和浩特铁路局,内蒙古自治区赤峰市克什克腾旗经棚镇经棚火车站
True,开鲁,False,False,True,呼和浩特铁路局,内蒙古自治区通辽市开鲁县火车站
True,林东,False,False,True,呼和浩特铁路局,内蒙古自治区赤峰市巴林左旗林东镇林东火车站
True,山丹,False,False,True,兰州铁路局,甘肃省山丹县清泉镇山丹车站
True,石嘴山,True,True,True,兰州铁路局,宁夏回族自治区石嘴山市大武口区石嘴山车站
True,疏勒河,False,False,True,兰州铁路局,甘肃省瓜州县三道沟镇疏勒河车站
True,太阳山,False,False,True,兰州铁路局,宁夏回族自治区吴忠市红寺堡区太阳山镇太阳山车站
True,谭家井,False,False,True,兰州铁路局,甘肃省武威市古浪县海子滩镇谭家井车站
True,天水,True,True,True,兰州铁路局,甘肃省天水市麦积区一马路东2号天水车站
True,石林,False,False,True,昆明铁路局,云南省昆明市石林县石林火车站
True,松河,False,False,True,昆明铁路局,贵州省盘县盘松河乡松河火车站
True,通海,False,False,True,昆明铁路局,云南省玉溪市通海县九街镇通海火车站
True,威箐,False,False,True,昆明铁路局,贵州省六盘水市盘县威箐乡威箐火车站
True,蒲城？,False,False,True,西安铁路局,陕西省渭南市蒲城县贾曲乡（镇）杜家村
True,蒲城东,False,False,True,西安铁路局,陕西省蒲城县翔村镇马家村
True,岐山,False,False,True,西安铁路局,陕西省宝鸡市岐山县蔡家坡镇五丈原社区岐山高铁火车站
True,千河,False,False,True,西安铁路局,陕西省宝鸡市陈仓区千河镇司家崖村
True,千阳,False,False,True,西安铁路局,陕西省宝鸡市千阳县东海路与宝平南路路口
True,乌鲁木齐南,True,True,True,乌鲁木齐铁路局,新疆维吾尔自治区乌鲁木齐市南站路135号
True,乌西,False,False,True,乌鲁木齐铁路局,新疆维吾尔自治区乌鲁木齐市头屯河区站前街456号
True,新和,False,False,True,乌鲁木齐铁路局,新疆维吾尔自治区阿克苏地区新和县
True,焉耆,True,True,True,乌鲁木齐铁路局,新疆维吾尔自治区巴音郭楞蒙古自治州焉耆县
True,叶城,True,True,True,乌鲁木齐铁路局,新疆维吾尔自治区喀什地区叶城县
True,伊宁,True,True,True,乌鲁木齐铁路局,新疆伊宁市
True,神木西,False,False,False,西安铁路局,陕西省榆林市神木县锦界镇起鸡哈浪村
True,神峪河,False,False,False,西安铁路局,甘肃省平凉市华亭县神峪河乡
True,生芝渠,False,False,False,西安铁路局,陕西省宜君昙西村乡生芝渠村
True,石庙沟,False,False,False,西安铁路局,陕西省安康市汉滨区瀛湖镇陈家湾村
True,石柱槽,False,False,False,西安铁路局,四川省达州市宣汉县大成镇石柱村
True,史家铺,False,False,False,西安铁路局,陕西省宝鸡市陇县温水镇
True,蜀河,False,False,False,西安铁路局,陕西省安康市旬阳县蜀河镇沙沟村
True,建始,False,False,True,武汉铁路局,湖北省恩施土家族苗族自治州建始县邺州镇安乐井村　
True,界首,False,False,True,武汉铁路局,安徽省界首市东升路1号
